7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7AC3CE96	Remaining Useful Life Prediction for a Nonlinear Heterogeneous Wiener Process Model With an Adaptive Drift
7D96E11A	AN INTELLIGENT PREDICTION METHOD FOR SHORT-TERM TIME SERIES FORECAST ON ENGINEERING EDUCATION
7F95DD55	Selecting Variables for Habitat Suitability of Asellus (Crustacea, Isopoda) by Applying Input Variable Contribution Methods to Artificial Neural Network Models
7DD89D0C	Coverage enhancement methods for LMDS
804CCCE1	Barankin bounds for source localization in an uncertain ocean environment
75B960F9	Predictive model for the behavior of Listeria monocytogenes Scott A in Shrikhand, prepared with a biopreservative, pediocin K7
80062E11	Price forecasting in deregulated electricity markets - a bibliographical survey
7020429B	What can be learnt from models of incidence rates?
7172F612	A cross-layer approach to online adaptive reliability prediction of transient faults
7332396C	Identifying the Most Informative Prediction Tool for Cancer-specific Mortality After Radical Prostatectomy: Comparative Analysis of Three Commonly Used Preoperative Prediction Models
7C80011B	Predictive models for growth of Salmonella typhimurium DT104 from low and high initial density on ground chicken with a natural microflora.
7EB6AD93	Empirical calculation of shadowing deviation for complex indoor propagation topologies at 2.4 GHz
7EE979AA	Equipment Performance Study on Voltage Regulators
79D981F3	Use of watershed factors to predict consumer surfactant risk, water quality, and habitat quality in the upper Trinity River, Texas.
7F3607E3	Computational Models for Identifying Promiscuous HLA-B7 Binders based on Information Theory and Support Vector Machine
774DCA5A	Prediction of Peptide Reactivity with Human IVIg through a Knowledge-Based Approach
7F4F7AE8	Grid Resource Prediction Based on Support Vector Regression and Genetic Algorithms
7D95AE9B	Using intelligent system approach for very short-term load forecasting purposes
769E6920	Larval presence prediction through logistic regression: an early warning system against Mytilopsis leucophaeata biofouling
759EB914	An attempt to predict pork drip loss from pH and colour measurements or near infrared spectra using artificial neural networks
7B97EBC7	Nonlinear model predictive control of a hydraulic excavator using Hammerstein models
7FEB10F2	Predictive modeling-based data collection in wireless sensor networks
7FF6B3DD	High level quantitative interconnect estimation for Early Design Space Exploration
7B51E54D	Incubation time and water activity effects on ochratoxin A production by Aspergillus section Nigri strains isolated from grapes
7D1F9682	Predicting corporate failure: empirical evidence for the UK
7D03B2DC	An investigation into the fracture of silicon die used in flip chip applications
7A3B7D57	Predicting the location of northern goshawk nests: modeling the spatial dependency between nest locations and forest structure
79F1F162	Delamination in Fiber Metal Laminates (GLARE) during fatigue crack growth under variable amplitude loading
80F0CE2E	Extended Hammerstein Behavioral Model Using Artificial Neural Networks
7DD8F132	Enhanced CELP coding with discrete spectral modeling
7658F4E7	Flash-Point Prediction for Industrial Applications
78C51D67	The diagnostic value of specific IgE to Ara h 2 to predict peanut allergy in children is comparable to a validated and updated diagnostic prediction model
7F2C5E6B	Short-Term and Midterm Load Forecasting Using a Bilevel Optimization Model
771CE4D7	Fuzzy Forecasting Based on Two-Factors Second-Order Fuzzy-Trend Logical Relationship Groups and the Probabilities of Trends of Fuzzy Logical Relationships
812D3741	A novel 3-D indoor ray-tracing propagation model: the path generator and evaluation of narrow-band and wide-band predictions
5BCF1CBA	Mitigating Congestion by Integrating Time Forecasting and Realtime Information Aggregation in Cellular Networks
7631A9C0	Force modeling of micro-grinding incorporating crystallographic effects
808B648E	A Neural-Network-Based Model for the Dynamic Simulation of the Tire/Suspension System While Traversing Road Irregularities
7D5D1326	A Hybrid Time-Series Forecasting Model Using Extreme Learning Machines
7DC7E119	Lyapunov-based model predictive control of particulate processes subject to asynchronous measurements
7EEBC086	Theoretical and experimental investigation of the fast- and slow-scale instabilities of a DC-DC converter
776FBEDE	The effects of chronic administration of established and putative antipsychotics on natural prepulse inhibition deficits in Brattleboro rats
77C4C0AD	Predictive Control of Random-parameter Systems with Multiplicative Noise. Application to Investment Portfolio Optimization
7A43AF40	The aerobic growth of Aeromonas hydrophila and Listeria monocytogenes in broths and on pork
7C445C69	Residual stress distributions in welded stainless steel sections
7F5C0AB0	Estimating defects in commercial software during operational use
78E6F102	Accident prediction models with random corridor parameters
7CD9684E	Software faults prediction based on grey system theory
7D9DB9F1	Sizing equivalent performing large-scale systems using modeling
7AD6F5CC	Bayesian structural equation modeling method for hierarchical model validation
7E5EA137	Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction
774F8CF6	Development of a Predictive Model for Spoilage of Cooked Cured Meat Products and Its Validation Under Constant and Dynamic Temperature Storage Conditions
7A283611	Latent semantic models for collaborative filtering
80F33793	Computer modelling of the reliability of flip chips with metal column bumping
609E2ED8	Out-of-plane geometric error prediction for additive manufacturing
58DAF1B9	Predicting uncertainty in numerical weather forecasts
80FE1212	Source current harmonic analysis of adjustable speed drives under input voltage unbalance and sag conditions
7F5D88A1	A robust compensation strategy for extraneous acoustic variations in spontaneous speech recognition
75538743	AdNext: a visit-pattern-aware mobile advertising system for urban commercial complexes
762AD6C2	Modeling the surface roughness and cutting force for turning
76E3EB2E	Growth, inactivation and histamine formation of Morganella psychrotolerans and Morganella morganii - development and evaluation of predictive models.
7D0A9DE3	Predicting stock price performance: a neural network approach
787762F9	Development of a daily mortality probability prediction model from Intensive Care Unit patients using a discrete-time event history analysis
81077FAA	Torsional Piezoresistive Effect in Polysilicon
800E74EB	Neural network based short term load forecasting
8113DCDE	A delay damage model selection algorithm for NARX neural networks
7D404B6A	Visualization and assessment of VOCAR propagation conditions
7C900394	Forecasting plug-in electric vehicles load profile using artificial neural networks
7E72A1A1	Statistics of broad-band bottom reverberation predictions in shallow-water waveguides
7AC5FC70	Temperature acceleration of time-dependent dielectric breakdown
815D947B	Groupanizer: a method to enhance groupware application using multi-users position prediction
75DCDA9C	A critical review of some traffic noise prediction models
7B4BF0C0	Virtual metrology for run-to-run control in semiconductor manufacturing
80BABC28	A hierarchical optimization algorithm for cooperative vehicle networks
795F618F	A neural network approach to predict survival/death and growth/no-growth interfaces for Escherichia coli O157:H7
7F71C7EE	R 2 Cache: Reliability-aware reconfigurable last-level cache architecture for multi-cores
762899C6	Statistical Models vs. Expert Estimation for Fault Prediction in Modified Code : an Industrial Case Study
7933E168	Impact of die-to-die and within-die parameter fluctuations on the maximum clock frequency distribution for gigascale integration
7E1757B3	Misclassification cost-sensitive fault prediction models
7D7306A4	Stochastic Analysis of the LMS Algorithm for System Identification With Subspace Inputs
7FF768B1	On the interpretation and identification of dynamic Takagi-Sugeno fuzzy models
7FF82AE3	UAV guidance with respect of arrival specifications
80E681E6	Nonlinearity or Structural Break? - Data Mining in Evolving Financial Data Sets from a Bayesian Model Combination Perspective
7CA46D65	Unsupervised Hierarchical Modeling of Driving Behavior and Prediction of Contextual Changing Points
769A397D	Hybrid soft computing methods for prediction of oil prices
7DD38EA1	Shelf life of modified atmosphere packed cooked meat products: a predictive model
