7632557C	Information not present<---Quality of service provision under channel fading
6D7B5ED8	Information not present<---Design of a Non-Contact Home Monitoring System for Audio Detection of Infant Apnea
7F59D265	Frontiers in Systems Neuroscience<---Cell-type-specific modulation of neocortical activity by basal forebrain input
7CE326F8	Conference on Information Sciences and Systems<---Cross-layer multicommodity capacity expansion on ad hoc wireless networks of cognitive radios
7CF75811	Vehicular Technology Conference<---Simulation study of IEEE 802.11e EDCF
8030EE3E	Vehicular Technology Conference<---Increasing the capacity of CDMA using hybrid spreading sequences and iterative multistage detection
77D033DF	Information not present<---System analytics for smart microgrids
7ABD89B0	Field-Programmable Logic and Applications<---The Design of Multitasking Based Applications on Reconfigurable Instruction Cell Based Architectures
7CFB6749	International Conference on Wireless Communications and Mobile Computing<---A joint model for IEEE 802.15.4 physical and medium access control layers
8106B6A7	Personal, Indoor and Mobile Radio Communications<---Evaluation of interference between IEEE 802.11b and Bluetooth in a typical office environment
5AEBE315	Information not present<---DISTI | Portfolio DISTI kompanije
7B47B853	Information not present<---Enabling Dynamic Spectrum Access using SS-MC-CDMA
8163C22C	Vehicular Technology Conference<---Performance comparison of OFDM-FH and MC-CDM in single- and multi-cell environments
766C16BD	International Conference on Communications<---FPGA implementation of MIMO-OFDM transceiver
5B8C4C49	Information not present<---Optimizing Physical Layer Energy Consumption for Reliable Communication in Multi-hop Wireless Sensor Networks
13557745	Information not present<---Analysis of HW/SW Platform for Vessel USN and Performance Evaluation of IEEE 802.15.4 Physical Layer
81279126	IEEE Transactions on Vehicular Technology<---Performance of Cooperative Sensing at the MAC Level: Error Minimization Through Differential Sensing
807FE6B3	International Symposium on Circuits and Systems<---An adaptive control of the request access bandwidth of the DQRUMA for providing the QoS in an OFDM-based W-ATM system
75880FB9	Computational Intelligence<---Comparative Analysis of IEEE 802.15.4 and IEEE 802.15.6 Standards
8011D666	IEEE Transactions on Signal Processing<---Impact of Imperfect Channel State Information on Bi-Directional Communications With Relay Selection
7D6A6B4C	Information not present<---Simulation Analysis of Adaptive Power Control Method in TD-SCDMA System
7EC5BAF9	New Technologies, Mobility and Security<---A New Link Adaptation Scheme for IEEE 802.11 WLANs
70DC5B8C	International Conference on Communications<---Link adaptation strategy for IEEE 802.11 WLAN via received signal strength measurement
7745CA30	International Conference on Computer Modeling and Simulation<---Design and Implement of the Embedded Elevator Monitor System Based on Wireless Communication
5EC47C33	Clinical Orthopaedics and Related Research<---Spectral Efficiency and Optimal Medium Access Control of Random Access Systems over Large Random Spreading CDMA
7C217E53	Wireless Networks<---Cross-layer modeling of adaptive wireless links for QoS support in heterogeneous wired-wireless networks
5958B0FE	International Symposium on Circuits and Systems<---The optimal MAC layer for low-power UWB is non-coordinated
75D9EE67	Information not present<---Board level guided wave optical interconnects
5D9E44F6	Information not present<---Physical Layer Impairments in the Optimization of the Next-Generation of All-Optical Networks
7A046975	Information not present<---Joint rate and power control for coded cognitive radio networks
789727AB	Information not present<---Application of DFT-based channel estimation for accurate signal cancellation in Cloud-Txn multi-layer broadcasting system
7F3C62F5	International Conference on Multimedia and Expo<---A Study of Silence Suppression and Real Speech Patterns and their Impact on VoIP Capacity in 802.11 Networks
7D6CDF8F	IEEE Communications Magazine<---G.HNEM: the new ITU-T standard on narrowband PLC technology
816E8A5A	Rapid System Prototyping<---Transaction-level prototyping of a UMTS outer-modem for system-on-chip validation and architecture exploration
7EC95428	Global Communications Conference<---Access Network Design for Optical Flow Switching
616BBC1B	Information not present<---The impact of backoff, EIFS, and beacons on the performance of IEEE 802.11 wireless LANs
81413086	International Conference on Computer Communications and Networks<---Principles of IEEE 802.15.3c: Multi-Gigabit Millimeter-Wave Wireless PAN
7E0B5F8F	IEEE Transactions on Wireless Communications<---Adaptive resource allocation for multiuser MIMO systems with transmit group MMSE
76C1BE02	Computer and Information Technology<---Investigation of PHY, MAC and APP Layers for Adaptive and Cross-Layer Optimization in IEEE802.11 WLAN
815C0AED	Information not present<---On the performance of MIMO-based ad hoc networks under imperfect CSI
7E913D48	Information not present<---Network upgrade for the SLC: PEP-II network
7D1F6038	IEEE\/OSA Journal of Optical Communications and Networking<---Lightpath topology design for wavelength-routed optical networks in the presence of four-wave mixing
5E1ABF92	Global Communications Conference<---Efficient bandwidth utilization guaranteeing QoS over adaptive wireless links
8098B48D	Wireless Communications and Networking Conference<---Piconet security in IEEE 802:15.3 WPAN
5E53C9AC	Information not present<---Protocols for Impulse Radio UWB Ad Hoc Networks
726242A9	IEEE Communications Magazine<---Physical layer key generation in wireless networks: challenges and opportunities
7C8132F6	New Security Paradigms Workshop<---Survival by defense-enabling
7F188907	Current Opinion in Microbiology<---Slave node architecture for train communications networks
7F0A3F17	Information not present<---Real Time communication with Power Adaptation (RTPA) in wireless sensor network (WSN)
7ABB70E4	ACM/IEEE International Conference on Mobile Computing and Networking<---Challenge: ultra-low-power energy-harvesting active networked tags (EnHANTs)
7D91042E	Local Computer Networks<---MAC Protocol Design for Impulse Radio UWB Based WPANs
7B921FE0	International Conference on Control and Automation<---The positioning system based on IEEE 802.15.4a PHY and MAC protocol for low rate WPAN
7FF16CAD	Information not present<---Simulation environment for Time-Triggered Ethernet
7DEE1DF2	Clinical Orthopaedics and Related Research<---Delay Performance Optimization for Multiuser Diversity Systems with Bursty-Traffic and Heterogeneous Wireless Links
7FE8EDF3	Parallel and Distributed Computing Systems (ISCA)<---TSMP: Time Synchronized Mesh Protocol
7806714D	Communications of The ACM<---An alternative to event queues for synchronization in monitors
817ECC61	International Workshop on Quality of Service<---Cross-layer-model based adaptive resource allocation for statistical QoS guarantees in mobile wireless networks
5F55F1CD	Information not present<---Access point association in IEEE 802.11 WLAN
7896637F	Wireless Personal Communications<---Cooperation and Fairness for Slotted Aloha
79826797	Information not present<---D-sync: Doppler-based time synchronization for mobile underwater sensor networks
7648EFBD	Information not present<---Performance of UWB Receiver with Cognitive Channel Allocation and Rake Optimization
7EBEC194	IEEE Transactions on Antennas and Propagation<---Electric Field Distributions of Wearable Devices Using the Human Body as a Transmission Channel
03BE2E8E	Information not present<---Error-Resilient, Tagged Video Stream Coding with Wireless Data Link Control
80C66712	Personal, Indoor and Mobile Radio Communications<---Physical Component Performance Degradation Detection based on Error Probability Analysis
70CC9CCF	Information not present<---Analysis of static versus fully-dynamic routing in IP/GMPLS over WDM optical networks with physical-layer impairment constraints
773F5C35	Wireless Communications and Networking Conference<---A double decoding scheme to improve the PER performance of V2V communications
69100D17	Personal, Indoor and Mobile Radio Communications<---Auction driven dynamic spectrum allocation: optimal bidding, pricing and service priorities for multi-rate, multi-class CDMA
7AB2D204	Information not present<---MIMO Ad Hoc Network Performance in the Presence of Co-channel Interference
7F1A31BC	Global Communications Conference<---Wide-sense stable hexanary-feedback contention access for wireless networks
0AD7545C	Information not present<---Integration of high accurate Clock Synchronization into Ethernet-based Distributed Systems
04D3E9B0	Information not present<---An Ad-hoc network simulator based on an optimized semi-deterministic channel characterization
