794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
7AF4207E	Numerical simulation of wavefronts diffracted by apertures with circular symmetry
800E3C4D	Pseudopolar-based estimation of large translations, rotations, and scalings in images
7BCB95A5	eQq measurements in the X, 1g, O+g and B state of I2: A test of the electronic molecular eigenfunctions
7F734A7C	The theory of surface-wave and space-wave leaky-mode excitation on microstrip lines
5A7C6498	Remarks on efficient computation of the inverse fourier transforms on finite non-abelian groups
7E699059	Signal estimation from modified short-time Fourier transform
7B51229A	Algorithms for subpixel registration
7F601929	Birefringent imaging spectrometer
7F21FADE	Exponential Radon transform inversion based on harmonic analysis of the Euclidean motion group
80F8FC57	Heuristics for fault diagnosis when testing from finite state machines
7C51AA25	The relative importance of local phase and local amplitude in patchwise image reconstruction
7EF2E650	Generating matrix of discrete Fourier transform eigenvectors
7FEDA15D	A 64-point Fourier transform chip for high-speed wireless LAN application using OFDM
79CB2182	FOURIER-TYPE FUNCTIONALS ON WIENER SPACE
7DFE7168	New Results on Single-Channel Speech Separation Using Sinusoidal Modeling
785C86D0	High-speed multi-target detection with narrowband radar
62E136A8	The norm of the Fourier series operator
78461686	Uniform asymptotic Green's functions for efficient modeling of cracks in elastic layers with relative shear deformation controlled by linear springs
784B0561	Image encryption scheme based on the commutation and anti-commutation rules
76D0755E	Localizing triplet periodicity in DNA and cDNA sequences
79279330	Sampling expansions for three-dimensional light amplitude distribution in the vicinity of an axial image point: comment
77F6E505	Time-dependent wave packet study on trans-cis isomerization of HONO
7D22AD2A	Separated estimation of wave parameters and spectral parameters by maximum likelihood
7A229656	Formation and rupture of carbonate film: an electrochemical noise approach
76C7480D	Signal reconstruction algorithm for timing jitter compensation in frequency-domain echo cancellers
77CF2240	Spatial and temporal carrier fringe pattern demodulation using the one-dimensional continuous wavelet transform: Recent progress, challenges, and suggested developments
6264C6F5	A spectral domain noise model for optical fibre channels
79F8BADB	Optical beam propagation in gain media written in terms of complex-order Fourier transforms
7C766A91	Potential of Near-Infrared Fourier Transform Raman Spectroscopy in Food Analysis
75B6AAF8	Vertical dynamic response of an inhomogeneous viscoelastic pile
7E450BEF	Particle Filter Enhancement of Speech Spectral Amplitudes
78A2FF9E	Automatic slub detection using Gabor filters
78DF51C7	Adaptive local polynomial fourier transform in ISAR
815C3677	Applications of Fourier transforms in digital magnetic recording theory
78DAF844	The fracture behavior of functionally graded piezoelectric materials with dielectric cracks
7CA2C603	A method for the analysis of multicomponent exponential decay curves
75AF6271	Design of hybrid organic–inorganic materials through their structure control: The case of epoxy bearing alkoxides
7F56961F	Identical relation of interpolation and decimation in the Linear Canonical Transform domain
7DACE827	Image feature extraction using Gabor-like transform
7B91A2F0	Pricing discrete barrier options and credit default swaps under Lévy processes
7A219FC0	Determination of gap-state distributions in amorphous semiconductors from transient photocurrents using a fourier transform technique
05197A4B	The Shape Cognition and Query Supported by Fourier Transform
7E1570E1	In-line sorting of irregular potatoes by using automated computer-based machine vision system
80E1948A	Interpolation of Discrete Chirp-periodic Signals Based on Fractional Fourier Transform
7EA3F4A3	Limiting cases of the small-angle scattering approximation solutions for the propagation of laser beams in anisotropic scattering media
7FC12754	Noise characterization of combined Bellini-type attenuation correction and frequency-distance principle restoration filtering [SPECT]
80D9FE86	An exact method for computing the area moments of wavelet and spline curves
7519A602	Wavelet-modified binary phase-only morphological correlation for color pattern recognition
8169F125	S-Method-Based Approach for Image Formation, Motion Compensation, and Image Enhancement of Moving Targerts in ISAR and SAR
5ED876EB	Of Copulas, Quantiles, Ranks and Spectra - An L1-Approach to Spectral Analysis
7A137063	Strain analysis for moiré interferometry using the two-dimensional continuous wavelet transform
7D242979	Bi-direction synthesis for reversible circuits
813E6234	Time-scale canonical model for wideband system characterization
7D5FFEA6	Fourier-based Rotation Invariant image features
78D89489	Methods of avoiding the effects of acoustic ringing in pulsed fourier transform nuclear magnetic resonance spectroscopy
7D6178DF	Accurate Prediction of Phase Transitions in Compressed Sensing via a Connection to Minimax Denoising
7969B497	Neural network modelling for very small spectral data sets: reduction of the spectra and hierarchical approach
7812F490	A demodulation method for the circular carrier interferogram using phase stitching
752A2337	Design of Maximally Sparse Antenna Arrays in the Presence of Mutual Coupling
7BD50FA1	SERIES EXPANSIONS OF THE ANALYTIC FEYNMAN INTEGRAL FOR THE FOURIER-TYPE FUNCTIONAL
7E38F001	Electromagnetic field computation in planar integrated structures with a biaxial grounded slab
77C0D206	Adaptive separation of random lines and background
7D2415EB	Laser mode behavior of the Cassini CIRS Fourier transform spectrometer at Saturn
76D72A1D	Generalized Fourier transforms for nonlinear systems
7EE2527A	Adaptive Chirplet Decomposition Method and Its Application in Machine Fault Diagnosis
77CD3744	Compressed sensing based robust time-frequency representation for signals in heavy-tailed noise
806494FF	Time-scale modification of speech using an incremental time-frequency approach with waveform structure compensation
812F232D	Region-of-interest MRI: k-space sampling conditions
8111BB4C	Fractional convolution and correlation via operator methods and an application to detection of linear FM signals
7BB1CBD0	Practical applications of spectral analysis to hydrologic time series
7EC20E16	Multi-Region Texture Image Segmentation Based on Constrained Level-Set Evolution Functions
7704080B	On localization properties of Fourier transforms of hyperfunctions
7D0D0BD0	Optimal VLSI networks for multidimensional transforms
75BDD397	Distinction of cervical cancer biopsies by use of infrared microspectroscopy and probabilistic neural networks
79D0775C	Two-beam-coupling correlator for synthetic aperture radar image recognition with power-law scattering centers preenhancement
7CB1B894	Single-shot nanometer-scale holographic imaging with laser-driven x-ray laser
77A02D1F	Chronocyclic description of laser pulse compression
807122FF	Fractional Fourier series expansion for finite signals and dual extension to discrete-time fractional Fourier transform
7AFD5E6E	Vibrational spectra of charged defects in a series of α,α′-dimethyl end-capped oligothiophenes induced by chemical doping with iodine
7EE63544	Optical flow estimation using Fourier Mellin Transform
75372FEB	Fourier transform microwave spectroscopy of monobromogermylene (HGeBr and DGeBr), a heavy atom carbene analog
80B10133	Variational Earth Mover's Distance for Image Segmentation
7CB2E7FF	Uniform asymptotic analysis for transient waves in a pre-stressed compressible hyperelastic rod
750BBC6B	Epifilm thickness measurements using Fourier transform infrared spectroscopy: Effect of refractive index dispersion and refractive index measurement
806B25CB	Imaging Fourier Transform Spectrometry of Combustion Events
7B3B2BBC	Application of photoacoustic infrared spectroscopy in the forensic analysis of artists' inorganic pigments.
7D3311C3	Speckle Noise Removal of SAR Images Based on 2-Dimensional S-Transform
7F2368AE	Using link gradients to predict the impact of network latency on multitier applications
7898DBA5	Size-dependent surface CO stretching frequency investigations on nanodiamond particles
7F2108C5	Band-limited combined orthonormal wavelet bases
76BB871B	Dynamic interaction of multiple arbitrarily oriented planar cracks in a piezoelectric space : a semi-analytic solution
762703FF	Microwave Fourier Transform Spectroscopy of Magnesium Sulfide Produced by Laser Ablation
7BFE72F9	Fourier Transform Raman Spectroscopy Using a Tuneable Solid-State Laser and a Semiconductor Bandgap Filter
7CB9AFE2	Determination of the Total Unsaturation in Oils and Margarines by Fourier Transform Raman Spectroscopy
808E15D8	A general method of field calculation for head-medium systems
5B23273C	A weak qualitative uncertainty principle for compact groups
7777ED5B	A simple phase unwrapping approach based on filtering by windowed Fourier transform
7970609D	The pure rotational spectrum of CaNC
7824613B	Time‐dependent methods for calculating thermal rate coefficients using flux correlation functions
75B8E429	In-plane perturbation of a system of two coplanar slit-cracks – I: Case of arbitrarily spaced crack fronts
5AB1F0A9	A dual approach to network calculus applying the legendre transform
76B22A4D	The Whittaker-Shannon sampling theorem for experimental reconstruction of free-space wave packets
7EDB3B21	Off-Axis Gaussian Beam Scattering by an Anisotropic Coated Sphere
80EC5A52	Influence of sampling on composite structured light pattern
7D44D6E8	Investigating signal processing theory with Mathematica
7EEC062C	MRI Reconstruction Using SVD in the Least Square Sense
7EB5EC0A	Oversampled FIR and IIR DFT filter banks and Weyl-Heisenberg frames
807B1512	The discrete fractional Fourier transform
7D4268B6	Magnetic Line Source Diffraction by an Impedance Step
781F1D5B	Microwave spectrum and electric dipole moment of NeHF
7C2C785D	High-Resolution Fourier Transform Spectra of HDSe: The Interacting States (v~1 v~2 v~3)/(v~1 +/- 1 v~2 m 2 v~3) with 2v~1 + v~2 = 1,2,3, and 4
7846D4C0	Fourier transform microwave spectrum of the CO–dimethyl sulfide complex
80812FAD	Computer-generated double-phase holograms
785DB5BB	Bayesian signal reconstruction, Markov random fields, and x-ray crystallography
