08220318	Perimeter Security Post 9/11
7E5DF11C	A Classified Method of Human Hair for Hair Sketching
5AAEB5C2	New methods in human subjects research: do we need a new ethics?
7A9EF146	Efficient fractal dimension calculation method for feature extraction of skin images
77C1410A	Highly efficient codec based on significance-linked connected-component analysis of wavelet coefficients
7A742046	Adaptive localization techniques in WiFi environments
7EA74CD0	Secure cryptosystem from palm vein biometrics in smart card
79414F8A	Advance overlay correction beyond 32nm DRAM process
7DAB5BEA	Towards robust biohash generation for dynamic handwriting using feature selection
5C679F05	Data acquisition for modular biometric monitoring system
7E41206C	Remote three‐factor authentication scheme based on Fuzzy extractors
7D708ECD	Text dependent speaker recognition using shifted MFCC
7CB76DE0	Exploring how security features affect the use of electronic health records
76256DC0	Holographic optical element for compact fingerprint imaging system
79B66E90	Handbook of Beta Distribution and Its Applications edited by A.K. Gupta and S. Nadarajah
7AD6C69F	An investigation of matching symmetry in the human pinnae with possible implications for 3D ear recognition and sound localization
7585247B	INTEGRATING SHAPE AND TEXTURE FOR HAND VERIFICATION
85EF5B1F	Static code analysis and detection of multiple malicious Java applets using SVM
5C912ED4	Fingerprint feature extraction using morphological operations
7BFAEC49	On the robustness of image watermarking VIA compressed sensing
7ED00AF4	Location sensing in enhanced IEEE 802.11e WLANs
7FC587D2	A fast and robust iris localization method based on texture segmentation
7F525768	Secure in-band update of trusted certificates
0585E48E	An Efficient Palm-Vein Pattern Extraction Algorithm
7A498D18	Empirical mode decomposition for removal of specular reflections and cast shadow effects
7A4352F0	Dorsal hand vein recognition based on 2D Gabor filters
5B9209DC	Optimal sample size for evaluate the growth pattern of 'Valencia late' orange fruit
7A2E4CDC	Fingerprint ridges frequency
7B9B8025	A scatterometry based CD metrology solution for advanced nodes, including capability of handling birefringent layers with uniaxial anisotropy
5B2B3456	File encryption system based on fingerprint
035B35D0	Incremental Fingerprint Recognition Model for Distributed Authentication
7612B278	View invariant gait recognition
77F638E5	Complexity-Based Measures Inform Effects of Tai Chi Training on Standing Postural Control: Cross-Sectional and Randomized Trial Studies
26F2A896	Biometric tests loom for UK staff
76A93851	The advantage of a big head: swallowing performance in adders, Vipera berus (L.)
6D65C6BA	그레이디언트 방향 특징을 이용한 손가락 관절문 인식
7CF99715	A Testbed for Localizing Wireless LAN Devices Using Received Signal Strength
76C907EE	Lucilla singleyana (Pilsbry, 1890) (Gastropoda: Pulmonata: Punctidae) in recent flood debris in the Beskidy Mts (Southern Poland)
8461D025	Cost and Benefit Analysis for Two-Factor Authentication Systems
8147277B	NetworkProfiler: Towards automatic fingerprinting of Android apps
85B71A6B	An Artificial Neural Network Based Matching Metric for Iris Identification
760853C8	Using Linear Discriminant Analysis to Fuse Bimodal Biometrics Traits in Complex Space
80F95840	The role of deep traps in photoconductivity transients in SI GaAs
5D6EB378	Technical skills measurement based on a cyber‐physical system for endovascular surgery simulation
12A8F4D9	Thoughts on the Samsung Galaxy S5 | Gear Live
77B31543	Combining feature level and matching score level fusion strategies for multi-biometrics
7A73C911	Novel fingerprint segmentation with entropy-Li MCET using log-normal distribution
5E689C2E	Digital Identity Management: Technological, Business and Social Applications
747E5D51	Facial expressions classification with hierarchical radial basis function networks
61CB0825	体臭を可視化するイメージセンサの開発と応用の可能性 (特集 汗,体臭の研究と制汗・デオドラント製品の開発)
7D95E1A2	Segment Oriented Search (SOS) Method for TV Repeats Detection
7519B820	Network connection fault detection based on data fusion
78B0A1D4	A Secure and Efficient Fingerprint Images Encryption Scheme
7CFEC644	Detection of trace gases from long term stored fruit and respiration of insects
5B8B5E3B	Biometrics: A Security Tool for 21st Century
21CAC36A	Novel Driver Authentication System using Electrocardiogram
80385E87	The fusion framework in a person identity verification system based on face and speech data
79AB08CE	The identity of ID
76B19078	Improving robustness of DNS to software vulnerabilities
7AACDF03	Mobile Touch: NFC-Like Interaction with Yesterday's Phones
79562844	Trends of Biometric and Test Techniques of K-NBTC
76C8274C	Human characterization and emotion characterization from gait
77741CE1	The Fingerprint Characteristics of Partial Discharge on Typical Defects in GIS Based on Acoustic Detection
780C61B3	Accurate models for EUV lithography
0917C8F3	Edward G. Donley Memorial Lecture, Enhancing the Senses: How Technological Advances Shape Our View of the Law
760B3F90	Human identification using correlation metrics of iris images
80785E44	RF fingerprint extraction from the energy envelope of an instantaneous transient signal
7CF07010	Misuse-Based Intrusion Detection Using Bayesian Networks
77E09EC0	Reorganizing fingerprint information using intersection technique for RFID-based indoor localization system
7C298674	File format identification and information extraction
6E34F18F	An ASIC for image processing applications based on internal and external parallelism
83503939	Silver nanorod arrays as highly sensitive SERS substrates for viral detection
75B3489E	Emerging biometrics: EEG-based identity verification
7D18092C	Realtime image fusion and target learning & detection on a laptop attached processor
7E84A761	A Method of Evolving Finger Vein Template
7E8FAA70	Construction of individual identification system using voice in three-layered neural networks
79F0A194	Liquid: A Scalable Deduplication File System for Virtual Machine Images
6F6F27D3	Anatomically Informed Metrics for Connectivity-Based Cortical Parcellation From Diffusion MRI
786BC339	Generalized fingerprint minutiae vicinities
60BE5014	Iris Segmentation for Non-ideal Images
5C463B03	지문 정보를 이용한 공개키 기반의 전자입찰시스템
8589EA6C	Biometric authentication for ID cards with hologram watermarks
7FE02C58	A novel motion detection pointing device Using a binary CMOS image sensor
7CB21CE1	Materials for intraocular lenses enabling photo-controlled tuning of focal length in vivo
5F092771	Biometric Based Cryptographic Key Generation from Faces
791E3D3F	Using neural networks to select wavelet features for breast cancer diagnosis
7CD81DC2	Performance Evaluation of Intra-palm Propagation Signals as Biometrics
847B8D19	Embedded system for face identification based on Iris Detection
7D485264	Hyperbolic Location Fingerprinting: A Calibration-Free Solution for Handling Differences in Signal Strength (concise contribution)
80575218	Evaluation of support vector machine with universal kernel for hand-geometry based identification
7A594340	Contribution to the age determination of fingerprint constituents using laser fluorescence spectroscopy and confocal laser scanning microscopy
79B81EE3	Mobile, contactless, single-shot, fingerprint capture system
5D91AFDC	Human recognition using local 3D ear and face features
7558B63E	Standoff iris recognition using non-iterative polar based segmentation
7E7A8748	Machine olfaction: intelligent sensing of odours
78CBDF12	Terahertz scattering : comparison of a novel theoretical approach with experiment.
78892D28	Mapping self-assembled dots and line arrays by image analysis for quantification of defect density and alignment
7E304CB1	Efficient Multi-target Human Motion Tracking
5C65E3D9	Multiple classifier fusion for biometric authentication
2480BBD2	AIR CARGO SECURITY AND EFFICIENCY: DEVELOPING A MULTIMODAL ELECTRONIC SUPPLY CHAIN MANIFEST
802B3EF4	Genetics of Personality
7B9060D0	On analyzing of fingerprint direct-access strategies
763B2359	Revocable handwritten signatures with haptic information
783A9D67	Fiber optic noncontact reflectance probe for detection of contamination in pharmaceutical mixing vessels
7B6F5927	Facial biometrics based on 2D vector geometry
7E8C7B52	Three Diamentional Object Used for Data Security
7FB69AFE	Establishing public confidence in the security of fingerprint biometrics
77E069F4	Fingerprint fluorescence identifying by using the wide-band tunable laser
789C9FBC	Fuzzy evaluation of biometric authentication systems
84A5B238	Speaker verification based on speech signal
810EEEBF	Combining Physical and Digital Evidence in Vehicle Environments
796E5C68	Covariance matrix estimation using repeated measurements when data are incomplete
79C6A479	Using MATLAB to help teach Fourier optics
7F804D78	Segmentation of Fingerprint Images Using Minimal Graph Cuts
