7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7F255677	IEEE Transactions on Instrumentation and Measurement<--Tightly Synchronized Distributed Measurement and Event Triggers
5C8B5EC1	Clinical Orthopaedics and Related Research<--An algorithm for clock synchronization with the gradient property in sensor networks
7F34BFBB	Symposium on Reliable Distributed Systems<--A statistical clock synchronization algorithm for anisotropic networks
7A8E6DF8	Control Engineering Practice<--Synchronized universal time coordinated for distributed real-time systems
784590F8	International Conference on Communications<--Measurement of packet processing time of an Internet host using asynchronous packet capture at the data-link layer
5EA34E6B	Information not present<--Fault‐Tolerant Clock Synchronization
74F8A761	Information not present<--An optimal fault-tolerant broadcasting algorithm for a cube-connected cycles multiprocessor
5E749841	Clinical Orthopaedics and Related Research<--On the Security of ``an efficient and complete remote user authentication scheme''
5D95D9C5	Information not present<--Implementing real-time event channels on CAN-bus
76C7A355	IEEE Transactions on Instrumentation and Measurement<--Timestamping and Ranging Performance for IEEE 802.15.4 CSS Systems
0C08B4F2	Information not present<--양방향 측위기법을 이용한 스마트 의사위성 항법시스템 개발에 관한 연구
7BDEF745	Principles of Distributed Computing<--A new fault-tolerant algorithm for clock synchronization
77057A2C	Systems and Computers in Japan<--A precise clock synchronization method using ISDN
7DEE1105	Journal of Software<--Detecting Clock Dynamics in One-Way Delay Measurement
76A94B9F	Information not present<--Digital phase-locked loop for frequency distribution over packet networks
66FDBA42	Information not present<--Synchrony parameter dependent transformation equations and some of their particular values - Kinematics
772DAF41	European Journal of Physics<--Special relativity without clock synchronization
7AA30273	Information not present<--A quantum no-key protocol for secure data communication
8111E7A0	Information not present<--Implementation of a VI-Based Synchronic Testing System for Underwater Transducer Array
77F8C94B	IEEE Transactions on Instrumentation and Measurement<--Clock Synchronization Experiments Performed via the ATS-1 and ATS-3 Satellites
7B2D323F	Design, Automation, and Test in Europe<--Built-in generation of functional broadside tests
7C36F460	A Quarterly Journal of Operations Research<--A linear programming approach to highly precise clock synchronization over a packet network
75B22254	Principles of Distributed Computing<--The complexity of crash failures
7FFB5820	Sensors<--A novel, wireless sensor/actuator network for the factory floor
61E57D2E	Information not present<--Time aspects of the European Complement to GPS: Continental and transatlantic experimental phases
7896C490	Network and Operating System Support for Digital Audio and Video<--Evaluating dead reckoning variations with a multi-player game simulator
630197AF	Information not present<--Analysis of receivers provided with equalizers for digital radio links in the presence of multipath fading
7DC080A2	Information not present<--Synthesizing distributed real-time systems modeled by a timed version of a subset of LOTOS
75F635A8	Sigmetrics Performance Evaluation Review<--Interval based off-line clock synchronization for wireless mesh networks
151E9AF6	Information not present<--Robust HD Video Stream Transmission for Wireless DTV--ICCE2007 発表報告 (マルチメディアストレージ・コンシューマエレクトロニクス)
7DCE022C	Information not present<--Design and Application of Multi-Level Distributed Real-Time Simulation Platform
7CED8499	International Conference on Acoustics, Speech, and Signal Processing<--A new scheme for synchronization of inactive nodes in a sender-receiver protocol
7D1CDFD7	Information not present<--A multimedia synchronization protocol for multicast groups
7A365353	International Symposium on Quality Electronic Design<--Mitigating Thermal Effects on Clock Skew with Dynamically Adaptive Drivers
81A15792	Information not present<--TOF clock system for BES III
7D2C633C	International Conference on Telecommunications<--Comparative Analysis of Synchronization Techniques of Spatial Diversity Clocks using Navigation Signals
7951245A	Journal of Computer Science and Technology<--Self-adaptive clock synchronization for computational grid
7FCD5527	Information not present<--A Power Management Protocol for Multi-Hop Ad Hoc Networks
7F64C35B	IEEE Transactions on Circuits and Systems I-regular Papers<--Clock-gating and its application to low power design of sequential circuits
7CF048BA	IEEE Transactions on Instrumentation and Measurement<--Use of Precision Time Protocol to Synchronize Sampled-Value Process Buses
79B88490	New Journal of Physics<--Clock synchronization by remote detection of correlated photon pairs
79D8E6CC	Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology<--A clock-free chip set for high-sampling rate adaptive filters
5FBA52C9	Information not present<--IEEE-1588™ STANDARD FOR A PRECISION CLOCK SYNCHRONIZATION PROTOCOL FOR NETWORKED MEASUREMENT AND CONTROL SYSTEMS
7A5129B7	Information not present<--Clock synchronization in wireless LANs without hardware support
7F34078A	IEEE Transactions on Broadcasting<--Continuous Adaptation Enhancement in Linear Regression Algorithm for Clock Recovery in IPTV Environment
7FC7F420	Information not present<--Enhancement for a clock synchronization protocol in heterogeneous networks
7E233D6A	Embedded Software<--Polychronous mode automata
5AFC58F4	Information not present<--MH-TRACE: multihop time reservation using adaptive control for energy efficiency
0C457CCF	Annales Des Télécommunications<--Clock recovery in DMT transmission R�cup�ration d�horloge
7E91D198	International Conference on Communications<--On assessing unidirectional latencies in packet-switched networks
7D3FD4B6	Network and System Support for Games<--Accuracy in dead-reckoning based distributed multi-player games
7F277BC4	IEEE Journal of Solid-state Circuits<--An Infinite Phase Shift Delay-Locked Loop With Voltage-Controlled Sawtooth Delay Line
805D6FD3	Information not present<--Implementation of a level 1 trigger system using high speed serial (VXS) techniques for the 12GeV high luminosity experimental programs at Thomas Jefferson National Accelerator Facility
7F57C7DC	International Parallel and Distributed Processing Symposium<--Almost Peer-to-Peer Clock Synchronization
7D67A0C4	Design, Automation, and Test in Europe<--Steiner tree based rotary clock routing with bounded skew and capacitive load balancing
7F7AB6BB	International Symposium on Circuits and Systems<--Skew variability in 3-D ICs with multiple clock domains
7A980845	Algorithmica<--Wait-Free Clock Synchronization
684A2C6C	International Parallel and Distributed Processing Symposium<--Group membership in a synchronous distributed system
71EDA89B	IEEE Transactions on Instrumentation and Measurement<--A general circuit for resistive bridge sensors with bus compatible output
7E5C4646	Information not present<--Clock synchronization issues in bluetooth-based industrial measurements
0278CD26	Information not present<--On the problem of clock synchronization in general relativity.
614630A8	Clinical Orthopaedics and Related Research<--An Energy-efficient Clock Synchronization Protocol for Wireless Sensor Networks
7960FB97	International Conference of the IEEE Engineering in Medicine and Biology Society<--An optimized and low-cost FPGA-based DNA sequence alignment — A step towards personal genomics
5E90A135	Information not present<--Formal verification for time-triggered clock synchronization
7AC14210	Information not present<--Diffuse Field Estimation with Asynchronous Sensor Networks
7FA05D34	Dependable Systems and Networks<--How to model link failures: a perception-based fault model
809E65A2	Personal, Indoor and Mobile Radio Communications<--Clock synchronization for energy-constrained wireless sensor networks
7F8AAAEF	IEEE Transactions on Instrumentation and Measurement<--Preventing the Collision of Requests From Slave Clocks in the Precision Time Protocol (PTP)
7CEC625E	Global Communications Conference<--Performance Limits of Fair-Access in Sensor Networks with Linear and Selected Grid Topologies
7CCDC946	Journal of Lightwave Technology<--Reconfigurable All-Optical OTDM-to-WDM Conversion Using a Multiwavelength Ultrashort Pulse Source Based on Raman Compression
73707AE4	Information not present<--Development and validation of network clock measurement techniques
7A82E98A	Information not present<--Secure tunneling of high-precision clock synchronization protocols and other time-stamped data
0C5FD516	Information not present<--A TIGHT CLOCK SYNCHRONIZA TION TECHNIQUE FOR MUL TIPROCESSOR SYSTEMS
816C26F0	Modeling, Analysis, and Simulation On Computer and Telecommunication Systems<--Parallel simulation of Markovian queueing networks
