7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
7FCDC996	Information not present<--Low voltage low power wide range fully differential CMOS four-quadrant analog multiplier
5E5F7159	Information not present<--PERANCANGAN SISTEM KOMUNIKASI PAKET RADIO MELALUI INTERNATIONAL SPACE STATION (ISS)
76406AB7	Japanese Journal of Applied Physics<--High-Spatial-Resolution Topographic Imaging and Dimer Distance Analysis of Si(100)-(2×1) Using Noncontact Atomic Force Microscopy
821DEF5A	Information not present<--Time-bandwidth product of photonically generated wideband microwave signals based on frequency-to-time mapping
5F9163B7	International Symposium on Circuits and Systems<--A frequency digitizer based on the continuous time phase domain noise shaping
7524AED8	Optics Communications<--CD-insensitive PMD monitoring using electronic domain orthogonal coherent processing for OOK optical link at 40Gbits/s
76158017	Journal of The Optical Society of America B-optical Physics<--Switching and dynamic wavelength conversion in a fiber grating cavity
7DAFAF83	IEEE Journal of Quantum Electronics<--Mutual influence of the parametric effects and stimulated Raman scattering in optical fibers
6255369F	Information not present<--Digital current control using a switching power amplifier and sigma delta modulation
311A8C28	Information not present<--AM baseband telemetry techniques
805D6852	Information not present<--An integrated sigma-delta codec for mobile telephone applications
7B456882	International Conference on Pervasive Computing<--Optimization of Soft Morphological Filters with Parallel Annealing-Genetic Strategy
7BD65171	Information not present<--Design and implementation of 3M–5GHz wide-band MIMO transmitter
1350F2E6	Information not present<--Frequency-Modulated Microwave Photonic Links with Direct Detection: Review and Theory
75411321	Studia Informatica Universalis<--A small footprint hybrid statistical/unit selection TTS synthesis system for agglutinative languages
2422A8FD	Information not present<--8113 障害者雇用報奨金を活用した既存オフィス改修の事業性評価(維持管理,建築社会システム)
7E140533	IEEE Photonics Technology Letters<--Direct Phase Modulation DFBs for Cost-Effective ONU Transmitter in udWDM PONs
7E0C91B9	IEEE Transactions on Power Electronics<--A resonant MOSFET gate driver with efficient energy recovery
79D9A24F	Information not present<--The relationship between EEG and binaural beat stimulation in meditation
7D247746	IEEE Transactions on Geoscience and Remote Sensing<--Squint LFMCW SAR Data Processing Using Doppler-Centroid-Dependent Frequency Scaling Algorithm
81279F7A	IEEE Transactions on Vehicular Technology<--Unified analysis of postdetection diversity for binary digital FM mobile radio
7AC0FB88	Information not present<--Study on the cosite interference suppression using the NLMS algorithm
7C0C1D0D	Journal of Dairy Science<--Evaluating Effects of Fish Meal on Milk Fat Yield of Dairy Cows
782F4921	IEEE Transactions on Magnetics<--Influence of Crystallite Size on Magnetocaloric Effect and Critical Behavior La 0.7 Sr 0.3 Mn 0.92 Co 0.08 O 3 Nanoparticles
7E9A5DC1	Information not present<--Electric vehicle drivetrain: Sizing and validation using general and particular mission profiles
1121CF7F	Research Works of Air Force Institute of Technology<--Selected Aspects of Wear Affecting Keyed Joints and Spline Connections During Operation of Aircrafts
761F9D5F	International Conference of the IEEE Engineering in Medicine and Biology Society<--An EMG controlled prosthetic forearm in three degrees of freedom using ultrasonic motors
80D8FD58	Vehicular Technology Conference<--Performance of a direct conversion receiver with pi /4-DQPSK modulated signal
5AA26339	Advances in Computing and Communications<--Application of quantitative EEG to aircraft assessment, management, and control
7F6EB69D	IEEE Transactions on Industry Applications<--Doubly Fed Induction Machines Diagnosis Based on Signature Analysis of Rotor Modulating Signals
5944647B	International Conference on Model-Driven Engineering and Software Development<--A deployment-oriented development process based on context variability modeling
811348CF	Information not present<--Collective ion accelerator based on a temporary and spatially modulated intense REB
0952C1E7	Granular Computing<--Research on Web Services composition based on behavior protocol
78FE4729	Information not present<--Calculation of the DC-bus Capacitors of the Back-to-back NPC Converters
760F6A86	IEEE Transactions on Signal Processing<--Second-Order Synchrosqueezing Transform or Invertible Reassignment? Towards Ideal Time-Frequency Representations
7A1B0FE4	Intelligent RObots and Systems<--Involuntary movement during haptics-enabled robotic rehabilitation: Analysis and control design
81378D27	Information not present<--Control of an LCC HVDC system for connecting large offshore wind farms with special consideration of grid fault
7DD0D194	Local Computer Networks<--Measured performance of a wireless LAN
5BD07D39	IEEE Transactions on Aerospace and Electronic Systems<--Interleaved OFDM Radar Signals for Simultaneous Polarimetric Measurements
608C4AF2	Information not present<--SOLO HIPOTESIS EN TORNO A LA DEMENCIA SENIL
798A7C28	International Conference on E-Business and E-Government<--Laser diode modulation under large signal conditions
7824305A	Information not present<--Doppler signal detection using stepped frequency noise radar
10E9B366	Information not present<--O dBi Antenna.
76964909	International Symposium on Circuits and Systems<--A low THD clock-free Class-D audio amplifier with an increased damping resistor and cross offset cancellation technique
86151FB9	Information not present<--Mechanical characteristic of magnetically shape memory alloy vibrating sensor
0E99274A	Information not present<--Project FM/CW Adaptive Measure
62B645A2	Information not present<--A standard for PM and AM noise at 10.6, 21.2 and 42.4 GHz
7D863C07	Computational Intelligence<--The Emotion Mechanism of Artificial Life Fight Behavior
8116667B	IEEE Photonics Technology Letters<--RF crosstalk in multiple-wavelength vertical-cavity surface-emitting laser arrays
7B583305	Ire Transactions on Instrumentation<--Telemetering Microbarometer for Determination of Vertical Displacements
7D983ADB	Conference on Decision and Control<--Observers based synchronization and input recovery for a class of nonlinear chaotic models.
22EE38E1	Information not present<--DEVELOPING A WATER PIPE MANAGEMENT SYSTEM IN SEOUL USING THE GIS
7EEAE707	Remote Sensing<--Application of modulation transfer function in high-resolution image fusion
7BBD1DC6	Information not present<--The Development of Superconducting Cavity Stabilized Oscillator
77CA3CFA	International Conference on Robotics and Automation<--Bilateral haptic teleoperation of VTOL UAVs
7EE2BC99	IEEE Transactions on Systems, Man, and Cybernetics<--An experiment on texture segmentation using modulated wavelets
7B16EC93	Sensors<--Micromachined mid-infrared emitter for fast transient temperature operation for optical gas sensing systems
7F1220BC	Information not present<--An assessment of hierarchical data fusion using SEABAR'07 data
7FE9070C	Information not present<--Combined Modulation and Harmonic Suppression
7F6A7133	IEEE Journal of Quantum Electronics<--A model for optimization of the performance of frequency-Modulated DFB semiconductor laser
802E19C7	Information not present<--Sidelobe reduction with nonlinear frequency modulated waveforms
6AFBFFE4	Information not present<--LAS BEBIDAS ALCOHÓLICAS CARECEN DE TOXICIDAD
801B07FF	Journal of Lightwave Technology<--Modeling of Nonlinear Signal Distortion in Fiber-Optic Networks
7F79384D	Information not present<--Fiber-optic Brillouin distributed discrimination of strain and temperature with 11-cm spatial resolution using correlation-based continuous-wave technique
7D258D9B	Information not present<--QAM coherent subcarrier multiplexing system based on heterodyne detection using intermediate frequency carrier modulation
7D290E2E	Information not present<--A rapid method for load testing and efficiency measurement of three-phase induction motors
7C4F621F	Information not present<--A fast recognition algorithm for three kinds of intra-pulse modulation signals
7D86A353	Information not present<--Cyclostationarity feature matched detection and application to IFDMA system
5A022B3E	Information not present<--MIMO SDR-based implementation of AoA algorithms for Radio Direction Finding in spectrum sensing activities
761C2D08	Information not present<--Feature modeling and separation of concerns with FAMILIAR
7EB287CF	IEEE Transactions on Power Electronics<--Nonlinear-controlled strategy for soft-switched series-resonant DC/AC inverter without auxiliary switches
7A0F4810	Electronics Letters<--Detailed mapping of the local IM and FM responses of DFB lasers
7F9CA43F	IEEE Transactions on Communications<--Performance analysis of a time diversity ARQ in land mobile radio
5AF5E02D	Information not present<--Some Operational Aspects of the International Two-Way Satellite Time and Frequency Transfer (TWSTFT) Experiment Using INTELSAT Satellites at 307 Degrees East
7D93B5DC	Information not present<--Low-Voltage, Low-Power, and Wide-Tuning-Range Ring-VCO for Frequency ΔΣ Modulator
78CD5A8F	Information not present<--A new control strategy for grid interfacing inverter in wind energy applications
8015FFC6	Fuzzy Systems and Knowledge Discovery<--Study of resolution for harmonic drives controller with friction in precision robotic system
